,Número REDS,Qtde Veículos,Natureza Principal Completa,Ano Fato,Mês Fato Resumido,Mês Numérico Fato,Data Fato,Dia da Semana Fato,Horário Fato,Faixa 1 Hora Fato,Faixa 6 Horas Fato,Tipo Veículo,Alvo Corrigido,Situação Veículo,Causa Presumida,Descrição Meio Utilizado,Descrição Grupo Local Imediato,Descrição Local Imediato,Logradouro Ocorrência - Tipo,Bairro,Bairro Não Cadastrado,Bairro - FATO FINAL,Bairro - FATO FINAL - Municipio ,Município,Município - Código,UF - Sigla,RISP ,RMBH
49473,2016-015944344-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,24/07/2016,DOMINGO,02:00:00,De 02:00 as 02:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BARBOSA LAGE,BARBOSA LAGE,BARBOSA LAGE,"BARBOSA LAGE, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49479,2016-015946083-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,24/07/2016,DOMINGO,03:30:00,De 03:00 as 03:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,PARQUE DA LAJINHA,,PARQUE DA LAJINHA,"PARQUE DA LAJINHA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49481,2016-015947216-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,24/07/2016,DOMINGO,01:00:00,De 01:00 as 01:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM NATAL,,JARDIM NATAL,"JARDIM NATAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49502,2016-015959173-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,23/07/2016,SÁBADO,21:00:00,De 21:00 as 21:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,VALE DOS BANDEIRANTES,,VALE DOS BANDEIRANTES,"VALE DOS BANDEIRANTES, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49563,2016-016002960-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,25/07/2016,SEGUNDA-FEIRA,02:00:00,De 02:00 as 02:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,RESIDENCIA UNIFAMILIAR URBANA,APARTAMENTO,RUA,BOM JARDIM,,BOM JARDIM,"BOM JARDIM, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49618,2016-016050549-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,13/07/2016,QUARTA-FEIRA,15:00:00,De 15:00 as 15:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BORBOLETA,,BORBOLETA,"BORBOLETA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49642,2016-016074472-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,25/07/2016,SEGUNDA-FEIRA,13:00:00,De 13:00 as 13:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BOM PASTOR,BOM PASTOR,BOM PASTOR,"BOM PASTOR, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49663,2016-016095073-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,26/07/2016,TERÇA-FEIRA,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,RESIDENCIA UNIFAMILIAR URBANA,APARTAMENTO,AVENIDA,JARDIM COLONIAL,,JARDIM COLONIAL,"JARDIM COLONIAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49723,2016-016152271-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,23/07/2016,SÁBADO,10:40:00,De 10:00 as 10:59,De 06:00 as 11:59,REBOQUE,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,INDUSTRIAL,,INDUSTRIAL,"INDUSTRIAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49781,2016-016187073-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,27/07/2016,QUARTA-FEIRA,08:30:00,De 08:00 as 08:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA CATARINA,,SANTA CATARINA,"SANTA CATARINA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49805,2016-016217410-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,28/07/2016,QUINTA-FEIRA,05:00:00,De 05:00 as 05:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,TRAVESSA,JARDIM GLORIA,,JARDIM GLORIA,"JARDIM GLORIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49843,2016-016259098-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,27/07/2016,QUARTA-FEIRA,22:00:00,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRAJAU,,GRAJAU,"GRAJAU, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49844,2016-016259618-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,28/07/2016,QUINTA-FEIRA,01:15:00,De 01:00 as 01:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BENFICA,,BENFICA,"BENFICA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
49910,2016-016306507-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,28/07/2016,QUINTA-FEIRA,15:00:00,De 15:00 as 15:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,DEPOSITO,OUTROS - DEPOSITO EM GERAL,ESTRADA,BARREIRA DO TRIUNFO,BARREIRA DO TRIUNFO,BARREIRA DO TRIUNFO,"BARREIRA DO TRIUNFO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50064,2016-016448680-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,30/07/2016,SÁBADO,11:20:00,De 11:00 as 11:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,RESIDENCIA UNIFAMILIAR URBANA,OUTROS - RESIDENCIAS URBANAS,RUA,BENFICA,,BENFICA,"BENFICA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50101,2016-016489448-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,31/07/2016,DOMINGO,01:00:00,De 01:00 as 01:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,VALE DO IPE,jardim glória,VALE DO IPE,"VALE DO IPE, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50106,2016-016492138-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,31/07/2016,DOMINGO,01:40:00,De 01:00 as 01:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,RESIDENCIA UNIFAMILIAR URBANA,APARTAMENTO,RUA,INVÁLIDO,NOSSA SENHORA DE LOURDES,NOSSA SENHORA DE LOURDES,"NOSSA SENHORA DE LOURDES, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50115,2016-016494804-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,31/07/2016,DOMINGO,05:00:00,De 05:00 as 05:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MARIANO PROCOPIO,MARIANO PROCÓPIO,MARIANO PROCOPIO,"MARIANO PROCOPIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50126,2016-016502919-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,31/07/2016,DOMINGO,10:15:00,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CAICARAS,,CAICARAS,"CAICARAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50169,2016-016539525-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,31/07/2016,DOMINGO,22:50:00,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MARIANO PROCOPIO,,MARIANO PROCOPIO,"MARIANO PROCOPIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50185,2016-016548028-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,01/08/2016,SEGUNDA-FEIRA,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,CAMINHAO,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CIDADE DO SOL,CIDADE DO SOL,CIDADE DO SOL,"CIDADE DO SOL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50249,2016-016615880-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,01/08/2016,SEGUNDA-FEIRA,18:20:00,De 18:00 as 18:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,POCO RICO,,POCO RICO,"POCO RICO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50288,2016-016648810-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,02/08/2016,TERÇA-FEIRA,04:00:00,De 04:00 as 04:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,INVÁLIDO,,DESCONHECIDO,"DESCONHECIDO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50329,2016-016691621-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,28/07/2016,QUINTA-FEIRA,10:00:00,De 10:00 as 10:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,PROGRESSO,,PROGRESSO,"PROGRESSO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50486,2016-016823679-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,04/08/2016,QUINTA-FEIRA,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM DO SOL,,JARDIM DO SOL,"JARDIM DO SOL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50533,2016-016876704-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,04/08/2016,QUINTA-FEIRA,17:20:00,De 17:00 as 17:59,De 12:00 as 17:59,CAMINHAO,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,NOVA ERA,,NOVA ERA,"NOVA ERA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50641,2016-016985742-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,06/08/2016,SÁBADO,03:30:00,De 03:00 as 03:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,LOCAL / ESTABELECIMENTO DE LAZER / CULTURA /,BOATE / CASA DE SHOW / SIMILAR,AVENIDA,INDUSTRIAL,,INDUSTRIAL,"INDUSTRIAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50665,2016-016999696-001,1.0,FURTO CONSUMADO,2016.0,JUL,7.0,23/07/2016,SÁBADO,10:00:00,De 10:00 as 10:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,HUMAITA,,HUMAITA,"HUMAITA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50734,2016-017056305-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,07/08/2016,DOMINGO,10:20:00,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,LINHARES,,LINHARES,"LINHARES, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50736,2016-017056963-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,06/08/2016,SÁBADO,23:00:00,De 23:00 as 23:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50737,2016-017059340-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,05/08/2016,SEXTA-FEIRA,21:45:00,De 21:00 as 21:59,De 18:00 as 23:59,CAMINHONETE,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,ESTABELECIMENTO COMERCIAL / SERVICOS,ESTACIONAMENTO / GARAGEM,RUA,PAINEIRAS,,PAINEIRAS,"PAINEIRAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50758,2016-017084447-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,07/08/2016,DOMINGO,20:00:00,De 20:00 as 20:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SAGRADO CORACAO DE JESUS,,SAGRADO CORACAO DE JESUS,"SAGRADO CORACAO DE JESUS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50776,2016-017095538-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,08/08/2016,SEGUNDA-FEIRA,00:30:00,De 00:00 as 00:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BONFIM,,BONFIM,"BONFIM, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50879,2016-017174686-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,08/08/2016,SEGUNDA-FEIRA,16:30:00,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SAO MATEUS,,SAO MATEUS,"SAO MATEUS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
50946,2016-017226280-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,09/08/2016,TERÇA-FEIRA,11:00:00,De 11:00 as 11:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,ALTO DOS PASSOS,,ALTO DOS PASSOS,"ALTO DOS PASSOS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51021,2016-017288632-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,10/08/2016,QUARTA-FEIRA,07:00:00,De 07:00 as 07:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MUCUNGE DA GRAMA,,MUCUNGE DA GRAMA,"MUCUNGE DA GRAMA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51064,2016-017337546-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,10/08/2016,QUARTA-FEIRA,16:00:00,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SAO MATEUS,,SAO MATEUS,"SAO MATEUS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51131,2016-017399460-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,11/08/2016,QUINTA-FEIRA,09:00:00,De 09:00 as 09:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,ENVOLVIMENTO COM DROGAS,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BOM PASTOR,,BOM PASTOR,"BOM PASTOR, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51208,2016-017456971-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,11/08/2016,QUINTA-FEIRA,21:20:00,De 21:00 as 21:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,ESTABELECIMENTO COMERCIAL / SERVICOS,SHOPPING CENTER,AVENIDA,SAO DIMAS,,SAO DIMAS,"SAO DIMAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51209,2016-017458507-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,11/08/2016,QUINTA-FEIRA,10:30:00,De 10:00 as 10:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA CRUZ,,SANTA CRUZ,"SANTA CRUZ, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51250,2016-017504627-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,12/08/2016,SEXTA-FEIRA,15:35:00,De 15:00 as 15:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),EMBARCACAO AEREA / AQUATICA / TERRESTRE,AUTOMOVEL,RUA,JARDIM NATAL,,JARDIM NATAL,"JARDIM NATAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51274,2016-017539009-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,12/08/2016,SEXTA-FEIRA,20:00:00,De 20:00 as 20:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51291,2016-017548025-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,13/08/2016,SÁBADO,05:10:00,De 05:00 as 05:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,COSTA CARVALHO,,COSTA CARVALHO,"COSTA CARVALHO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51334,2016-017584060-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,13/08/2016,SÁBADO,19:00:00,De 19:00 as 19:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,INVÁLIDO,,DESCONHECIDO,"DESCONHECIDO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51380,2016-017614748-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,14/08/2016,DOMINGO,09:50:00,De 09:00 as 09:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM CACHOEIRA,JARDIM CACHOEIRA,JARDIM CACHOEIRA,"JARDIM CACHOEIRA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51414,2016-017642773-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,14/08/2016,DOMINGO,20:33:00,De 20:00 as 20:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,ENVOLVIMENTO COM DROGAS,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MILHO BRANCO,,MILHO BRANCO,"MILHO BRANCO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51424,2016-017653040-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,17/08/2016,QUARTA-FEIRA,06:00:00,De 06:00 as 06:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,ALTO SANTO ANTONIO,ALTO SANTO ANTONIO,ALTO SANTO ANTONIO,"ALTO SANTO ANTONIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51448,2016-017665213-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,15/08/2016,SEGUNDA-FEIRA,08:00:00,De 08:00 as 08:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CARLOS CHAGAS,,CARLOS CHAGAS,"CARLOS CHAGAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51784,2016-017988245-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,18/08/2016,QUINTA-FEIRA,20:40:00,De 20:00 as 20:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,ABUSO DE CONFIANCA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA RITA,,SANTA RITA,"SANTA RITA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51801,2016-017996830-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,18/08/2016,QUINTA-FEIRA,20:00:00,De 20:00 as 20:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRANBERY,,GRANBERY,"GRANBERY, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51817,2016-018008527-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,19/08/2016,SEXTA-FEIRA,05:00:00,De 05:00 as 05:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA TEREZA,,SANTA TEREZA,"SANTA TEREZA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51829,2016-018016627-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,18/08/2016,QUINTA-FEIRA,23:30:00,De 23:00 as 23:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,VILA REAL,,VILA REAL,"VILA REAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51905,2016-018092908-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,20/08/2016,SÁBADO,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,BARBOSA LAGE,,BARBOSA LAGE,"BARBOSA LAGE, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
51915,2016-018095457-001,1.0,FURTO CONSUMADO,2016.0,AGO,8.0,20/08/2016,SÁBADO,04:40:00,De 04:00 as 04:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BARBOSA LAGE,,BARBOSA LAGE,"BARBOSA LAGE, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
